18:27:45.685 Connecting to -unnamed- ...
18:28:01.600 Disconnected
18:28:01.624 Connecting to CPF25008  ...
18:28:02.700 Connected
18:31:33.819   28.90kg
18:32:20.115   29.45kg
18:33:13.389   28.10kg
18:34:06.638   29.40kg
18:34:28.638   30.50kg
18:35:29.352   31.00kg
18:36:10.764   34.75kg
18:36:37.239   35.20kg
18:44:31.674   36.55kg
18:45:01.117   37.35kg
18:45:41.554   36.40kg
18:46:02.702   35.00kg
18:46:26.055   35.55kg
18:47:53.707   33.30kg
18:49:44.132   33.25kg
18:50:22.148   32.30kg
18:50:56.826   34.80kg
18:51:18.364   36.30kg
18:55:25.396   33.30kg
18:56:27.592   37.75kg
18:56:47.964   34.10kg
18:57:20.223   34.30kg
18:58:39.627   38.65kg
18:59:05.978   40.10kg
19:01:08.535   30.45kg
19:02:28.449   35.85kg
19:02:44.840   35.15kg
19:04:10.871   37.70kg
19:04:33.611   35.15kg
19:04:56.273   33.55kg
19:06:37.986   30.05kg
19:08:30.079   38.15kg
19:09:02.888   35.80kg
19:10:33.624   37.35kg
19:11:20.825   38.55kg
19:11:38.539   35.55kg
19:12:23.778   33.25kg
19:14:03.474   37.25kg
19:14:35.973   35.60kg
19:15:02.807   36.85kg
19:18:47.982   33.60kg
19:21:06.349   35.05kg
19:21:41.611   37.65kg
19:22:13.653   38.20kg
19:23:09.444   35.30kg
19:23:32.677   35.95kg
19:23:53.435   34.50kg
19:24:20.328   33.10kg
19:26:18.599   34.10kg
19:26:36.802   34.85kg
19:27:09.919   33.20kg
19:31:43.645   35.00kg
19:32:00.983   35.70kg
19:32:19.821   33.75kg
19:32:41.689   34.85kg
19:33:00.273   35.05kg
19:33:26.475   35.75kg
19:37:16.483   33.05kg
19:37:48.728   36.95kg
19:38:21.290   35.05kg
19:38:52.622   34.60kg
19:39:30.870   36.65kg
19:42:17.089   31.85kg
19:44:30.184   34.80kg
19:45:02.869   36.05kg
19:45:41.467   34.70kg
19:46:08.485   35.25kg
19:46:36.683   34.95kg
19:47:03.567   33.85kg
19:49:21.427   31.15kg
19:49:48.965   33.95kg
19:50:20.417   34.30kg
19:50:54.074   35.10kg
19:52:40.895   36.15kg
19:53:03.617   33.50kg
19:54:05.097   33.10kg
19:55:45.394   33.25kg
19:56:22.351   33.25kg
19:56:52.618   33.35kg
19:58:28.085   33.75kg
19:59:03.760   35.45kg
20:00:02.907   34.05kg
20:00:31.149   34.20kg
20:02:32.317   33.60kg
20:03:53.793   37.30kg
20:04:38.423   33.55kg
20:05:29.044   34.05kg
20:06:00.856   31.75kg
20:07:02.276   32.40kg
20:08:29.223   35.85kg
