16:59:46.805 No device selected
16:59:55.814 No device selected
17:00:57.336 Connecting to CPF25017  ...
17:00:58.572 Connected
17:02:05.785   36.75kg
17:02:32.254   37.60kg
17:02:47.006   34.50kg
17:03:01.465   36.30kg
17:03:22.028   35.85kg
17:03:41.408   34.80kg
17:03:56.090   35.80kg
17:04:10.428   31.95kg
17:04:25.546   35.85kg
17:04:39.330   34.10kg
17:04:54.689   35.05kg
17:05:07.512   34.40kg
17:05:21.822   35.90kg
17:05:35.966   33.75kg
17:06:01.509   36.20kg
17:06:25.932   36.80kg
17:06:41.976   35.00kg
17:07:04.908   36.75kg
17:07:19.276   35.95kg
17:07:33.361   36.25kg
17:07:49.079   33.95kg
17:08:06.598   38.95kg
17:08:29.561   37.15kg
17:08:44.740   36.55kg
17:09:04.733   34.20kg
17:09:22.252   35.55kg
17:09:38.169   34.10kg
17:09:53.389   37.50kg
17:10:07.162   37.45kg
17:10:22.097   35.85kg
17:10:33.736   36.60kg
17:10:47.595   36.90kg
17:11:00.344   37.30kg
17:11:11.578   34.80kg
17:11:27.222   35.50kg
17:11:40.661   36.10kg
17:11:54.160   36.15kg
17:12:08.573   38.10kg
17:12:21.367   34.65kg
17:12:33.816   36.95kg
17:12:49.115   34.35kg
17:13:02.194   35.85kg
17:13:22.802   35.80kg
17:13:36.182   36.55kg
17:13:51.900   37.30kg
17:14:04.544   36.40kg
17:14:18.883   35.15kg
17:14:35.291   35.65kg
17:14:50.471   37.15kg
17:15:03.070   35.00kg
17:15:25.253   38.95kg
17:15:43.851   35.05kg
17:15:56.990   36.95kg
17:16:13.684   35.75kg
17:16:28.382   35.45kg
17:16:46.786   33.20kg
17:17:00.450   37.25kg
17:17:14.684   36.90kg
17:17:28.573   36.55kg
17:17:41.323   35.15kg
17:17:57.311   33.60kg
17:18:08.440   35.50kg
17:18:23.139   36.00kg
17:18:41.377   36.15kg
17:18:59.127   34.50kg
17:19:10.804   35.95kg
17:19:23.958   34.55kg
17:19:38.761   34.55kg
17:19:51.811   36.75kg
17:20:03.285   35.75kg
17:20:22.634   35.80kg
17:20:36.267   35.70kg
17:20:48.605   37.60kg
17:21:06.793   37.20kg
17:21:21.983   34.35kg
17:21:35.725   34.30kg
17:21:50.631   33.90kg
17:22:02.509   35.35kg
17:22:15.682   33.85kg
17:22:28.479   36.25kg
17:22:45.640   34.30kg
17:22:58.135   34.25kg
17:23:11.564   37.45kg
17:23:26.053   34.65kg
17:23:43.781   37.50kg
17:23:58.511   34.20kg
17:24:12.579   36.00kg
17:24:32.257   36.25kg
17:24:47.916   34.55kg
17:25:03.230   35.70kg
17:25:14.734   36.30kg
17:25:30.423   34.40kg
17:25:41.822   35.05kg
17:25:59.220   34.65kg
17:26:13.649   36.25kg
17:26:26.353   38.30kg
17:26:38.727   36.95kg
17:26:59.905   33.85kg
17:27:14.140   37.05kg
17:27:32.227   34.40kg
